Sentence number	||	Number of Future LM (unigram) unknown tokens	||	Number of LM unknown tokens	||	Number of tokens	||	Original sentence log probability	||	Reordered sentence log probability	||	Original sentence	||	Reordered sentence
0 	||	 0 	||	 0 	||	 28 	||	 -100.79637145996094 	||	 -126.52075457572937 	||	 Vujanovic and Medojevic said they would not rush in recognising Kosovo 's statehood in order not to further alienate Serbia which considers the territory its historic heartland . 	||	 Medojevic said Vujanovic not recognising Kosovo 's statehood would further alienate Serbia which considers the territory its historic heartland and they in order not to rush in .
1 	||	 0 	||	 0 	||	 25 	||	 -92.57001495361328 	||	 -88.01311349868774 	||	 A deal at the summit could also be scuppered by smaller developing countries , which have been " obstructionist " according to some negotiators . 	||	 A deal could also be scuppered by some smaller developing countries which have been " obstructionist , " according to negotiators at the summit .
2 	||	 0 	||	 0 	||	 41 	||	 -174.96885681152344 	||	 -177.1107416152954 	||	 For example , the naked eye does not see the northern lights as the bright neon green of a radar screen that I had seen in pictures ; that effect is created by photographing them with a long shutter speed . 	||	 For example , photographing bright neon lights with the naked eye is seen as a green screen that does not effect shutter speed ; in the pictures created by the radar I see that had a long northern of them .
3 	||	 0 	||	 0 	||	 25 	||	 -73.4701156616211 	||	 -73.4699764251709 	||	 We all want to change the status quo , which is George W. Bush and the Republican domination of Washington for so many years . 	||	 We all want to change the status quo , which is George W. Bush and the Republican domination of Washington for so many years .
4 	||	 0 	||	 0 	||	 34 	||	 -65.09970092773438 	||	 -70.08100628852844 	||	 The estranged wife of a longtime aide to Rick Pitino was indicted Tuesday on federal charges of trying to extort money from the Louisville men 's basketball coach and lying to the FBI . 	||	 The Louisville men 's basketball coach Rick Pitino was indicted Tuesday on federal charges of trying to extort money from the estranged wife of a longtime aide and to lying to the FBI .
5 	||	 0 	||	 0 	||	 23 	||	 -65.91569519042969 	||	 -65.91565132141113 	||	 Dubbed " the voice of the silent majority , " Sosa was credited with championing the poor and fighting for political change . 	||	 Dubbed " the voice of the silent majority , " Sosa was credited with championing the poor and fighting for political change .
6 	||	 0 	||	 0 	||	 24 	||	 -101.83863830566406 	||	 -94.12442016601562 	||	 Many of these western telecoms companies go into the expected global recession with much stronger balance sheets compared to the downturn of 2000-01 . 	||	 Many of these telecoms companies go into the global downturn with much stronger balance sheets compared to the expected western recession of 2000-01 .
7 	||	 0 	||	 0 	||	 22 	||	 -92.75736236572266 	||	 -87.01936483383179 	||	 The investors could collect penalties because American International Group , which backed the arrangement , has seen its credit rating tumble . 	||	 The American International Group , which has seen its credit rating tumble because investors backed the arrangement , could collect penalties .
8 	||	 0 	||	 0 	||	 46 	||	 -137.29150390625 	||	 -189.00341606140137 	||	 Many in the Niger Delta are critical of Mr Yar 'Adua 's attempts to tackle the insecurity in the region since he came to power in May , 2007 , promising to use dialogue and development to address the area 's long-standing sense of marginalisation . 	||	 Mr Yar 'Adua came to power in May 2007 promising to tackle the Niger Delta 's long-standing marginalisation in the region and address insecurity in the area , critical to development since he attempts to use the dialogue 's sense of , Many are of .
9 	||	 0 	||	 0 	||	 37 	||	 -92.84331512451172 	||	 -99.92141354084015 	||	 Australian Prime Minister Kevin Rudd will offer his own apology Monday to the child migrants , as well as to the " forgotten Australians , " children who suffered in state care during the last century . 	||	 Australian Prime Minister Kevin Rudd will offer his own apology Monday to the " forgotten Australians " who suffered child migrants during the last century , as well as children in care , to the state .
10 	||	 0 	||	 0 	||	 22 	||	 -116.93333435058594 	||	 -103.22259330749512 	||	 The first two make the jelly that goes so well with lamb while blackcurrants yield the best jam in the cupboard . 	||	 The blackcurrants make the best jelly in the cupboard so that goes well with lamb while the first two yield jam .
11 	||	 0 	||	 0 	||	 12 	||	 -39.565128326416016 	||	 -39.5651478767395 	||	 Quite what the Labour Party was thinking is anyone 's guess . 	||	 Quite what the Labour Party was thinking is anyone 's guess .
12 	||	 0 	||	 0 	||	 13 	||	 -22.590686798095703 	||	 -22.590742111206055 	||	 It was last updated at 09.30 GMT on Thursday 19 March 2009 . 	||	 It was last updated at 09.30 GMT on Thursday 19 March 2009 .
13 	||	 0 	||	 0 	||	 34 	||	 -139.9751739501953 	||	 -139.72827529907227 	||	 Covering 15 to 25 miles daily , six days a week , it marched for three or four hours a morning then halted in the extreme heat to water and feed the animals . 	||	 Covering 15 to 25 miles three or four days a week in extreme heat for six hours , the animals marched daily to feed the water , and then a morning it halted .
14 	||	 0 	||	 0 	||	 23 	||	 -81.03150177001953 	||	 -80.08893585205078 	||	 According to the research , as many as 75 to 80 per cent of dreams deal with everyday personal concerns and interests . 	||	 According to the research , as many as 75 to 80 per cent of personal dreams and interests deal with everyday concerns .
15 	||	 0 	||	 0 	||	 22 	||	 -85.97505950927734 	||	 -83.28900575637817 	||	 Best of all , there would be no commute to work as industry was located within easy walking distance of housing . 	||	 Best of all , there would be no easy commute to work as housing was located within walking distance of industry .
16 	||	 0 	||	 0 	||	 31 	||	 -125.33634185791016 	||	 -130.86882257461548 	||	 Since 2005 , Rodriguez , a lifetime .279 postseason hitter , is 7 for 44 ( .159 ) in playoff games with 1 homer , 1 RBI and 15 strikeouts . 	||	 Since Rodriguez is a .279 lifetime hitter ( .159 with 1 homer , 7 RBI and 15 strikeouts in 44 postseason playoff games ) , 1 , 2005 , for .
17 	||	 0 	||	 0 	||	 31 	||	 -83.38807678222656 	||	 -95.16240906715393 	||	 Analysts believe Yahoo Inc . ' s stock price will surrender most , perhaps all , of its 50 percent gain since Microsoft Corp. made its initial offer on Jan . 	||	 Analysts believe Yahoo Inc . ' s stock price will surrender most of its 50 percent gain since Microsoft Corp. made its initial offer , perhaps all , on Jan .
18 	||	 0 	||	 0 	||	 12 	||	 -21.802059173583984 	||	 -21.80205249786377 	||	 The Fort Hood Killer : Terrified ... or Terrorist ? 7 . 	||	 The Fort Hood Killer : Terrified ... or Terrorist ? 7 .
19 	||	 0 	||	 0 	||	 36 	||	 -118.21646118164062 	||	 -119.58408856391907 	||	 Sarkozy was elected in May on promises to reform France from its courts to its creaking university system , its army of civil servants to rail workers whose special retirement privileges he vowed to erase . 	||	 Sarkozy was elected in May on promises to reform France , from its creaking university system to its army of civil servants whose special retirement privileges he vowed to erase to its rail workers courts .
20 	||	 0 	||	 0 	||	 19 	||	 -54.675106048583984 	||	 -54.675071716308594 	||	 " The governor will be permitted to turn himself in deference to his position , " she said . 	||	 " The governor will be permitted to turn himself in deference to his position , " she said .
21 	||	 0 	||	 0 	||	 28 	||	 -86.0511245727539 	||	 -97.73172378540039 	||	 Most recently , a May 23 story in the China Daily newspaper , the official English-language paper of the Chinese government , had her age as 14 . 	||	 Most recently , the English-language China Daily newspaper , the official paper of the Chinese government , in a May 23 story had her age as 14 .
22 	||	 0 	||	 0 	||	 10 	||	 -42.399330139160156 	||	 -42.39928722381592 	||	 Those trips have dominated television newscasts in recent weeks . 	||	 Those trips have dominated television newscasts in recent weeks .
23 	||	 0 	||	 0 	||	 18 	||	 -35.965232849121094 	||	 -45.236658573150635 	||	 " It 's a serious case , " said the chief prosecutor , Army Col. Lawrence Morris . 	||	 " It 's a serious case , " said Col. Lawrence Morris , the chief Army prosecutor .
24 	||	 0 	||	 0 	||	 12 	||	 -44.52349090576172 	||	 -40.56435680389404 	||	 The access to care will be based on level of need . 	||	 The level of access to care will be based on need .
25 	||	 0 	||	 0 	||	 14 	||	 -62.20808792114258 	||	 -62.20807504653931 	||	 The agency sought hair samples from 138 sports men and women last year . 	||	 The agency sought hair samples from 138 sports men and women last year .
26 	||	 0 	||	 0 	||	 8 	||	 -59.04352951049805 	||	 -59.04353713989258 	||	 Note : Please forgive our amateur videography . 	||	 Note : Please forgive our amateur videography .
27 	||	 0 	||	 0 	||	 37 	||	 -134.1224822998047 	||	 -167.1007776260376 	||	 In 2004 , Boston led all of baseball in runs scored , and the inconsistency of a few key components -- hello , right fielder J.D. Drew -- has made the offense sputter occasionally this season . 	||	 Boston right fielder J.D. Drew has led all baseball in runs scored , and key components of the offense occasionally sputter this season -- inconsistency of a few , hello -- In 2004 , the made .
28 	||	 0 	||	 0 	||	 48 	||	 -228.37014770507812 	||	 -235.3480362892151 	||	 San Juan Teitipac 's appeal was far from evident when I dragged my suitcase off the battered bus into a nearly empty plaza bordered by a town hall shuttered for lunch and an old church shuttered until who knows when . But things soon started looking up . 	||	 San Juan Teitipac was nearly empty when I dragged my battered suitcase into a town hall plaza bordered by an old shuttered bus and a shuttered church for lunch when things started looking up from the far off . But who knows until appeal 's evident soon .
